JONAS;HORIZONTE;PROFUNDIDADE;AREIA_MG;AREIA_G;AREIA_MED;AREIA_F;AREIA_MF;AREIA_TOTAL;SILTE;ARGILA;CLASSIFICACAO_TEXTURAL;Ks_MEDIO;Ks_DP
P1;Ap;20 cm;99,78;143,04;200,48;103,59;37,52;603,51;165,9;230,6;Franco Argilo Arenosa;19,19;17,87
P1;AB;50 cm;52,52;113,51;124,16;58,11;26,16;383,33;181,7;434,9;Argila;31,29;32,82
P2;Ap2;20 cm;84,15;33,61;37,67;22,87;14,11;198,41;412,7;388,9;Franco Argilo Siltosa;13,07;11,05
P2;Bt2;50 cm;40,69;29,03;18,94;12,28;11,32;116,97;425,3;457,7;Argila Siltosa;7,11;2,91
P3;A;20 cm;32,33;24,71;30,69;20,81;10,43;118,37;238,9;642,7;Muito Argilosa;46,16;47,28
P3;Bw1;50 cm;49,2;29,3;32,4;21,4;11,59;149,66;455,8;394,6;Franco Argilo Siltosa;43,02;11,27
P4;A1;20 cm;25,83;25,4;30,15;20,25;9,29;113,97;621,3;264,7;Franco Siltosa;45,28;47,52
P4;A2;50 cm;33,41;27,85;34,98;21,7;11,54;132,99;140,6;726,4;Muito Argilosa;73,39;19,24
P5;Ap ;20 cm;50,51;93,22;77,26;25,9;21,86;278,41;344,1757358;377,4192408;Franco Argilosa;7,23;4,27
P5;Bi;50 cm;0,14;1,96;9,86;22,28;40,85;92,32;471,9399696;435,7418585;Argila Siltosa;1,24;1,99
P6;BA;20 cm;75,16;163,24;218,93;90,77;27,91;585,11;131,5750609;283,3132659;Franco Argila Arenosa;23,00;7,79
P6;B1;50 cm;82,54;132,87;224;113,82;28,08;589,02;198,123187;212,8567398;Franco Argila Arenosa;7,08;3,75
P7;Ap1;20 cm;61,54;97,22;172,96;79,54;28,29;455,52;180,9783305;363,5062357;Argila Arenosa;13,21;8,63
P7;Ap2;50 cm;47,23;102,15;143,2;61,74;27,81;389,81;132,0272659;478,1669037;Argila;3,51;3,58
P8;Ap2;20 cm;74,37;32,4;58,04;41,61;18,15;230,42;157,9110423;611,6646636;Muito Argilosa;28,49;16,73
P8;BA;50 cm;105,13;26,28;42,24;34,27;17,4;226,44;164,056218;609,5054019;Muito Argilosa;56,35;21,10
P9;Ap;20 cm;19,85;25,66;37,55;29,96;25,31;148,66;497,7205263;353,6197664;Franco Argilo Siltosa;30,43;17,85
P9;Bt;50 cm;7,38;16,17;24,98;19,56;18,46;93,15;520,6730265;386,1800335;Franco Argilo Siltosa;6,09;8,09
P10;A;20 cm;19,96;19,05;31,8;34,47;31,44;158,25;495,7498588;345,9956551;Franco Argilo Siltosa;18,89;11,35
P10;AB;50 cm;12,55;16,33;28,54;26,51;22,24;118,46;471,2263108;410,3161385;Argila Siltosa;15,74;9,14
