REPETICAO;CLASSE;DIAMETRO_MEDIO;MASSA_LATA;MASSA_LATA_SS;MASSA_SS;PERCENTUAL_MASSA_SS
1;A;5;47,32;66,4;19,08;78,02726953
1;B;1,5;44,16;45,89;1,73;7,074799596
1;C;0,75;45,91;47,31;1,4;5,725271349
1;D;0,375;45,85;47,01;1,16;4,743796261
1;E;0,1875;45,88;46,47;0,59;2,412792926
1;F;0,0625;;;0,492989468;2,016070339
2;A;5;37,42;56,47;19,05;77,90458514
2;B;1,5;36,08;37,93;1,85;7,56553714
2;C;0,75;38,12;39,59;1,47;6,011534917
2;D;0,375;36,63;37,79;1,16;4,743796261
2;E;0,1875;36,55;37,1;0,55;2,249213744
2;F;0,0625;;;0,372989468;1,525332794
3;A;5;47,06;66,55;19,49;79,70395614
3;B;1,5;44,87;46,5;1,63;6,665851642
3;C;0,75;46,41;47,77;1,36;5,561692168
3;D;0,375;47,24;48,32;1,08;4,416637898
3;E;0,1775;47,85;48,38;0,53;2,167424154
3;F;0,0525;;;0,362989468;1,484437999
